,frequency,trial,delivery_ratio,subscriber
0,1,0,0.6666666666666666,RclpySpin
1,1,0,0.6666666666666666,RclpySpinOnce
2,1,1,0.6666666666666666,RclpySpin
3,1,1,0.6666666666666666,RclpySpinOnce
4,1,2,0.6666666666666666,RclpySpin
5,1,2,0.6666666666666666,RclpySpinOnce
6,3,0,0.6666666666666666,RclpySpin
7,3,0,0.6666666666666666,RclpySpinOnce
8,3,1,0.6666666666666666,RclpySpin
9,3,1,0.6666666666666666,RclpySpinOnce
10,3,2,0.6666666666666666,RclpySpin
11,3,2,0.6666666666666666,RclpySpinOnce
12,10,0,0.6333333333333333,RclpySpin
13,10,0,0.6333333333333333,RclpySpinOnce
14,10,1,0.6333333333333333,RclpySpin
15,10,1,0.6333333333333333,RclpySpinOnce
16,10,2,0.5,RclpySpin
17,10,2,0.6333333333333333,RclpySpinOnce
18,30,0,0.6111111111111112,RclpySpin
19,30,0,0.6111111111111112,RclpySpinOnce
20,30,1,0.6111111111111112,RclpySpin
21,30,1,0.6111111111111112,RclpySpinOnce
22,30,2,0.6222222222222222,RclpySpin
23,30,2,0.6222222222222222,RclpySpinOnce
24,100,0,0.006666666666666667,RclpySpin
25,100,0,0.6066666666666667,RclpySpinOnce
26,100,1,0.61,RclpySpin
27,100,1,0.64,RclpySpinOnce
28,100,2,0.6133333333333333,RclpySpin
29,100,2,0.6166666666666667,RclpySpinOnce
30,300,0,0.6133333333333333,RclpySpin
31,300,0,0.6122222222222222,RclpySpinOnce
32,300,1,0.6144444444444445,RclpySpin
33,300,1,0.6144444444444445,RclpySpinOnce
34,300,2,0.5977777777777777,RclpySpin
35,300,2,0.14777777777777779,RclpySpinOnce
36,1000,0,0.6133333333333333,RclpySpin
37,1000,0,0.6156666666666667,RclpySpinOnce
38,1000,1,0.6343333333333333,RclpySpin
39,1000,1,0.608,RclpySpinOnce
40,1000,2,0.605,RclpySpin
41,1000,2,0.6153333333333333,RclpySpinOnce
42,3000,0,0.6004444444444444,RclpySpin
43,3000,0,0.6062222222222222,RclpySpinOnce
44,3000,1,0.6133333333333333,RclpySpin
45,3000,1,0.6161111111111112,RclpySpinOnce
46,3000,2,0.1381111111111111,RclpySpin
47,3000,2,0.6142222222222222,RclpySpinOnce
48,10000,0,0.5761,RclpySpin
49,10000,0,0.5871666666666666,RclpySpinOnce
50,10000,1,0.5810666666666666,RclpySpin
51,10000,1,0.5736666666666667,RclpySpinOnce
52,10000,2,0.5745,RclpySpin
53,10000,2,0.5528666666666666,RclpySpinOnce
